1,1,5,8 GB,3200 MHz,1,16
2,1,5,16 GB,3200 MHz,1,16
3,1,5,32 GB,3200 MHz,1,16
4,1,5,8 GB,3600  MHz,1,18
5,1,5,16 GB,3600  MHz,1,18
6,1,5,32 GB,3600  MHz,1,18
7,1,6,8 GB,3200 MHz,1,16
8,1,6,16 GB,3200 MHz,1,16
9,1,6,32 GB,3200 MHz,1,16
10,1,6,8 GB,3600  MHz,1,18
11,1,6,16 GB,3600  MHz,1,18
12,1,6,32 GB,3600  MHz,1,18
13,1,8,8 GB,3200 MHz,1,16
14,1,8,16 GB,3200 MHz,1,16
15,1,8,32 GB,3200 MHz,1,16
16,1,8,8 GB,3600  MHz,1,18
17,1,8,16 GB,3600  MHz,1,18
18,1,8,32 GB,3600  MHz,1,18
19,1,15,8 GB,3200 MHz,1,16
20,1,15,16 GB,3200 MHz,1,16
21,1,15,32 GB,3200 MHz,1,16
22,1,15,8 GB,3600  MHz,1,18
23,1,15,16 GB,3600  MHz,1,18
24,1,15,32 GB,3600  MHz,1,18
25,1,5,16 GB,3200 MHz,2,16
26,1,5,32 GB,3200 MHz,2,16
27,1,5,64 GB,3200 MHz,2,16
28,1,5,16 GB,3600  MHz,2,18
29,1,5,32 GB,3600  MHz,2,18
30,1,5,64 GB,3600  MHz,2,18
31,1,6,16 GB,3200 MHz,2,16
32,1,6,32 GB,3200 MHz,2,16
33,1,6,64 GB,3200 MHz,2,16
34,1,6,16 GB,3600  MHz,2,18
35,1,6,32 GB,3600  MHz,2,18
36,1,6,64 GB,3600  MHz,2,18
37,1,8,16 GB,3200 MHz,2,16
38,1,8,32 GB,3200 MHz,2,16
39,1,8,64 GB,3200 MHz,2,16
40,1,8,16 GB,3600  MHz,2,18
41,1,8,32 GB,3600  MHz,2,18
42,1,8,64 GB,3600  MHz,2,18
43,1,15,16 GB,3200 MHz,2,16
44,1,15,32 GB,3200 MHz,2,16
45,1,15,64 GB,3200 MHz,2,16
46,1,15,16 GB,3600  MHz,2,18
47,1,15,32 GB,3600  MHz,2,18
48,1,15,64 GB,3600  MHz,2,18
49,1,5,32 GB,3200 MHz,4,16
50,1,5,64 GB,3200 MHz,4,16
51,1,5,128 GB,3200 MHz,4,16
52,1,5,32 GB,3600  MHz,4,18
53,1,5,64 GB,3600  MHz,4,18
54,1,5,128 GB,3600  MHz,4,18
55,1,6,32 GB,3200 MHz,4,16
56,1,6,64 GB,3200 MHz,4,16
57,1,6,128 GB,3200 MHz,4,16
58,1,6,32 GB,3600  MHz,4,18
59,1,6,64 GB,3600  MHz,4,18
60,1,6,128 GB,3600  MHz,4,18
61,1,8,32 GB,3200 MHz,4,16
62,1,8,64 GB,3200 MHz,4,16
63,1,8,128 GB,3200 MHz,4,16
64,1,8,32 GB,3600  MHz,4,18
65,1,8,64 GB,3600  MHz,4,18
66,1,8,128 GB,3600  MHz,4,18
67,1,15,32 GB,3200 MHz,4,16
68,1,15,64 GB,3200 MHz,4,16
69,1,15,128 GB,3200 MHz,4,16
70,1,15,32 GB,3600  MHz,4,18
71,1,15,64 GB,3600  MHz,4,18
72,1,15,128 GB,3600  MHz,4,18
73,2,5,16 GB,4800  MHz,1,36
74,2,5,32 GB,5200  MHz,2,36
75,2,5,16 GB,5600  MHz,1,40
76,2,5,32 GB,6000  MHz,2,40
77,2,5,16 GB,4800  MHz,1,36
78,2,5,32 GB,5200  MHz,2,36
79,2,5,16 GB,5600  MHz,1,40
80,2,5,32 GB,6000  MHz,2,40
81,2,6,16 GB,4800  MHz,1,36
82,2,6,32 GB,5200  MHz,2,36
83,2,6,16 GB,5600  MHz,1,40
84,2,6,32 GB,6000  MHz,2,40
85,2,6,16 GB,4800  MHz,1,36
86,2,6,32 GB,5200  MHz,2,36
87,2,6,16 GB,5600  MHz,1,40
88,2,6,32 GB,6000  MHz,2,40
89,2,8,16 GB,4800  MHz,1,36
90,2,8,32 GB,5200  MHz,2,36
91,2,8,16 GB,5600  MHz,1,40
92,2,8,32 GB,6000  MHz,2,40
93,2,8,16 GB,4800  MHz,1,36
94,2,8,32 GB,5200  MHz,2,36
95,2,8,16 GB,5600  MHz,1,40
96,2,8,32 GB,6000  MHz,2,40
97,2,15,16 GB,4800  MHz,1,36
98,2,15,32 GB,5200  MHz,2,36
99,2,15,16 GB,5600  MHz,1,40
100,2,15,32 GB,6000  MHz,2,40
101,2,15,16 GB,4800  MHz,1,36
102,2,15,32 GB,5200  MHz,2,36
103,2,15,16 GB,5600  MHz,1,40
104,2,15,32 GB,6000  MHz,2,40
