1,1,2,15,0,PRIME H410M-K,,,,,,
2,1,9,15,0,H410M S2,,,,,,
3,2,2,19,0,EX-H610M-V3 D4,,,,,,
4,3,9,5,0,GA-A320M-HD2,,,,,,
5,3,11,5,0,A320M PRO-VD PLUS,,,,,,
6,3,11,8,0,B350M PRO-VD PLUS,,,,,,
7,1,2,10,1,PRIME B460-PLUS,,,,,,
8,1,2,13,1,PRIME B560-PLUS,,,,,,
9,1,2,16,1,PRIME H470-PLUS,,,,,,
10,1,2,18,1,PRIME H570-PLUS,,,,,,
11,1,2,32,1,ROG MAXIMUS XII EXTREME,,,,,,
12,1,2,32,1,ROG STRIX Z490-E,,,,,,
13,1,2,33,1,ROG Maximus XIII Extreme,,,,,,
14,1,2,33,1,ROG STRIX Z590-E GAMING,,,,,,
15,1,9,32,1,Z490 AORUS XTREME,,,,,,
16,1,9,33,1,Z590 AORUS XTREME,,,,,,
17,1,9,10,1,B460 AORUS PRO AC,,,,,,
18,1,9,13,1,B560M AORUS PRO,,,,,,
19,1,11,33,1,MEG Z590 GODLIKE,,,,,,
20,1,11,13,1,MAG B560 TOMAHAWK,,,,,,
21,2,2,14,1,TUF GAMING B660M-PLUS,,,,,,
22,2,2,34,1,ROG MAXIMUS Z690 EXTREME,,,,,,
23,2,9,14,1,B660M AORUS Pro,,,,,,
24,2,9,34,1,Z690 AORUS MASTER,,,,,,
25,2,11,14,1,MAG B660M MORTAR,,,,,,
26,2,11,34,1,MAG Z690 TORPEDO,,,,,,
27,2,2,34,1,ROG STRIX Z690-A GAMING,,,,,,
28,2,2,34,1,Z690 GAMING X,,,,,,
29,2,9,34,1,Z690 AORUS ELITE,,,,,,
30,2,11,34,1,MPG Z690 EDGE,,,,,,
31,3,2,30,1,ROG STRIX X470-F,,,,,,
32,3,2,30,1,ROG Crosshair VII Hero,,,,,,
33,3,2,31,1,ROG Strix X570-E,,,,,,
34,3,2,31,1,ROG Crosshair VIII Dark Hero,,,,,,
35,3,2,9,1,ROG STRIX B450-E,,,,,,
36,3,2,11,1,ROG STRIX B550-E,,,,,,
37,3,9,9,1,B450M DS3H,,,,,,
38,3,9,11,1,B550 AORUS ELITE ,,,,,,
39,3,9,30,1,X470 AORUS ULTRA GAMING,,,,,,
40,3,9,31,1,X570 AORUS XTREME,,,,,,
41,3,11,31,1,MEG X570S ACE MAX,,,,,,
42,3,11,11,1,MPG B550 GAMING CARBON,,,,,,
43,4,1,1,1,ROG ZENITH II EXTREME ALPHA,,,,,,
44,4,1,1,1,ROG STRIX TRX40-XE,,,,,,
45,4,9,1,1,TRX40 AORUS XTREME XL,,,,,,
46,4,9,1,1,TRX40 AORUS MASTER,,,,,,
47,4,11,1,1,Creator TRX40,,,,,,
48,4,11,1,1,TRX40 PRO 10G,,,,,,
